Customer_ID,Total_Account_Balance,Total_Credit_Limit,Late_Payments,Total_Payments,Accounts_Opened_Last_12_Months,Total_Accounts,Accounts_30Plus_Days_Late,Debt_to_Credit_Ratio,Late_Payment_Ratio,Recent_Credit_Opening_Ratio,Delinquency_Rate
1,16795,32446,0,110,0,3,3,0.5176292917462861,0.0,0.0,1.0
2,1860,18046,2,182,0,12,2,0.10306993239499058,0.01098901098901099,0.0,0.16666666666666666
3,39158,29818,7,52,1,7,1,1.3132336172781542,0.1346153846153846,0.14285714285714285,0.14285714285714285
4,45732,9324,3,144,4,7,2,4.904761904761905,0.020833333333333332,0.5714285714285714,0.2857142857142857
5,12284,81323,15,35,0,10,3,0.15105197791522693,0.42857142857142855,0.0,0.3
6,7265,14111,9,181,4,9,3,0.5148465735950677,0.049723756906077346,0.4444444444444444,0.3333333333333333
7,17850,43110,11,85,3,10,3,0.4140570633263744,0.12941176470588237,0.3,0.3
8,38194,21389,13,187,4,8,2,1.785684230211791,0.06951871657754011,0.5,0.25
9,22962,46427,13,175,2,8,2,0.49458289357485946,0.07428571428571429,0.25,0.25
10,48191,84579,1,66,2,4,0,0.5697750032513981,0.015151515151515152,0.5,0.0
11,45131,33746,4,186,4,8,0,1.3373733183192082,0.021505376344086023,0.5,0.0
12,17023,92886,4,167,2,7,1,0.18326766143444653,0.023952095808383235,0.2857142857142857,0.14285714285714285
13,42090,5117,5,143,3,5,0,8.225522767246433,0.03496503496503497,0.6,0.0
14,2685,89471,12,20,1,8,1,0.030009723821126398,0.6,0.125,0.125
15,1769,18234,8,106,2,10,3,0.09701656246572338,0.07547169811320754,0.2,0.3
16,3433,58441,14,147,2,11,0,0.058743005766499545,0.09523809523809523,0.18181818181818182,0.0
17,6311,5846,13,86,4,3,2,1.079541566883339,0.1511627906976744,1.3333333333333333,0.6666666666666666
18,38819,15954,6,23,3,5,0,2.4331829008399146,0.2608695652173913,0.6,0.0
19,40188,84239,19,172,1,5,1,0.47707119030377854,0.11046511627906977,0.2,0.2
20,18568,51514,1,66,4,13,0,0.36044570408044413,0.015151515151515152,0.3076923076923077,0.0
21,20769,93236,6,57,4,10,3,0.22275730404564761,0.10526315789473684,0.4,0.3
22,29693,11469,5,162,3,3,2,2.5889789868340745,0.030864197530864196,1.0,0.6666666666666666
23,7396,35105,16,40,1,7,1,0.21068223899729382,0.4,0.14285714285714285,0.14285714285714285
24,28480,47101,1,76,3,5,2,0.604658075200102,0.013157894736842105,0.6,0.4
25,42434,69323,2,136,1,4,2,0.6121200755881886,0.014705882352941176,0.25,0.5
26,26658,96922,4,65,3,10,1,0.2750459132085595,0.06153846153846154,0.3,0.1
27,19942,63067,4,161,4,5,2,0.3162034027304295,0.024844720496894408,0.8,0.4
28,19431,54376,0,164,4,9,2,0.35734515227306163,0.0,0.4444444444444444,0.2222222222222222
29,3747,50587,7,58,0,14,0,0.07407041334730266,0.1206896551724138,0.0,0.0
30,1189,41976,11,156,2,13,2,0.028325709929483515,0.07051282051282051,0.15384615384615385,0.15384615384615385
31,20118,72584,3,118,3,3,2,0.277168521988317,0.025423728813559324,1.0,0.6666666666666666
32,36773,83477,12,96,0,8,2,0.44051654946871593,0.125,0.0,0.25
33,2899,47533,14,134,2,5,2,0.0609892074979488,0.1044776119402985,0.4,0.4
34,2267,6828,10,153,3,10,1,0.3320152314001172,0.06535947712418301,0.3,0.1
35,32551,6917,9,170,1,8,3,4.705941882318925,0.052941176470588235,0.125,0.375
36,12394,25618,2,110,2,14,0,0.4838004528066203,0.01818181818181818,0.14285714285714285,0.0
