Person_ID,Height_cm,Weight_kg,Waist_Circumference_cm,Hip_Circumference_cm,Body_Fat_Percentage
1,178,78,96,126,30.321619645561505
2,191,116,64,83,17.051116444114754
3,168,83,60,99,34.9206553156023
4,154,70,99,89,26.344829726355606
5,182,78,71,103,14.957261513278096
6,147,98,115,133,27.489532784938074
7,160,47,95,114,39.99141412467742
8,178,94,104,105,14.515644749902407
9,197,56,82,116,34.50270790358584
10,158,109,106,117,16.21927009562674
11,162,98,90,100,33.47164988380262
12,150,49,70,133,32.0373376936424
13,150,101,69,119,19.01468156801297
14,163,61,62,118,19.774693526933497
15,192,91,113,100,33.77564175888757
16,175,67,73,89,23.84336535661938
17,179,58,75,117,31.924540861354263
18,163,110,69,125,14.439524420975044
19,142,119,88,83,35.5767334570466
20,161,95,69,139,31.326541500469574
21,192,82,71,136,37.208284265045016
22,141,108,89,124,13.971171371049174
23,163,82,100,99,27.79043501081793
24,183,94,60,96,27.973617551209756
25,169,74,64,134,20.603822216403472
26,177,95,79,86,23.753992737077734
27,141,107,67,83,11.139446898695605
28,199,96,102,108,32.37580115881036
29,160,82,71,93,26.479674382095222
30,172,74,60,82,11.732231556075213
31,151,95,116,103,30.422676788814567
32,197,49,113,116,24.00346231693564
33,161,73,79,95,11.03383778275
34,183,48,87,137,39.08823180544286
35,164,54,116,134,38.473364292683215
36,188,100,102,131,25.387072484415928
37,166,61,96,83,12.810172621177305
38,198,118,106,135,32.63863664795775
39,181,61,96,103,24.75793300317187
40,167,113,71,113,19.0734243486814
41,199,78,96,109,24.742545325856703
42,155,50,108,97,25.67332436216393
43,154,97,108,98,26.881350970670177
44,186,110,115,110,23.236711409659797
45,190,87,103,139,28.1726590941717
46,183,119,115,139,37.56204131819132
47,194,67,87,98,20.868042612957737
48,191,99,106,128,31.77149389659847
49,196,119,74,125,36.833576704726966
50,142,60,65,98,23.679378272798107
51,176,52,103,101,23.303675091457123
52,190,48,118,103,28.063509560643386
53,146,48,79,124,27.742202782674642
54,160,100,109,91,34.19768026978831
